iter	Passed	Remaining
941	16386	35799
942	16390	35753
943	16395	35707
944	16399	35663
945	16404	35618
946	16408	35572
947	16412	35526
948	16417	35481
949	16421	35435
950	16425	35390
951	16429	35344
952	16434	35301
953	16439	35257
954	16444	35212
955	16449	35169
956	16453	35125
957	16458	35082
958	16463	35038
959	16467	34993
960	16471	34948
961	16475	34903
962	16480	34861
963	16484	34816
964	16489	34772
965	16493	34727
966	16498	34685
967	16503	34643
968	16507	34599
969	16511	34555
970	16516	34512
971	16520	34469
972	16524	34425
973	16529	34381
974	16533	34339
975	16538	34296
976	16542	34253
977	16547	34212
978	16552	34169
979	16556	34127
980	16560	34084
981	16565	34042
982	16569	33999
983	16574	33957
984	16579	33916
985	16583	33874
986	16588	33831
987	16592	33789
988	16597	33748
989	16602	33707
990	16606	33665
991	16610	33622
992	16614	33581
993	16619	33539
994	16623	33497
995	16627	33455
996	16632	33414
997	16636	33373
998	16641	33332
999	16646	33292
1000	16651	33252
1001	16655	33211
1002	16659	33170
1003	16664	33130
1004	16668	33089
1005	16673	33047
1006	16677	33008
1007	16682	32968
1008	16686	32926
1009	16690	32885
1010	16695	32846
1011	16700	32806
1012	16704	32766
1013	16708	32725
1014	16712	32684
1015	16717	32645
1016	16721	32605
1017	16725	32564
1018	16730	32525
1019	16734	32485
1020	16739	32445
1021	16743	32406
1022	16748	32366
1023	16753	32328
1024	16758	32290
1025	16762	32251
1026	16767	32212
1027	16771	32172
1028	16776	32134
1029	16781	32096
1030	16785	32056
1031	16789	32017
1032	16794	31979
1033	16799	31942
1034	16803	31902
1035	16808	31864
1036	16812	31825
1037	16817	31787
1038	16821	31748
1039	16825	31709
1040	16829	31671
1041	16834	31633
1042	16839	31595
1043	16843	31558
1044	16848	31520
1045	16853	31483
1046	16857	31445
1047	16861	31406
1048	16866	31369
1049	16870	31331
1050	16875	31295
1051	16880	31257
1052	16884	31219
1053	16888	31181
1054	16893	31144
1055	16898	31108
1056	16902	31071
1057	16906	31033
1058	16911	30995
1059	16915	30959
1060	16920	30922
1061	16924	30884
1062	16928	30847
1063	16933	30811
1064	16937	30774
1065	16942	30737
1066	16947	30702
1067	16952	30666
1068	16956	30629
1069	16960	30592
1070	16965	30556
1071	16970	30520
1072	16974	30484
1073	16979	30448
1074	16983	30411
1075	16987	30375
1076	16991	30339
1077	16996	30304
1078	17001	30268
1079	17005	30231
1080	17009	30195
1081	17014	30160
1082	17018	30124
1083	17022	30088
1084	17027	30052
1085	17031	30016
1086	17036	29981
1087	17040	29947
1088	17045	29911
1089	17050	29877
1090	17054	29842
1091	17058	29806
1092	17063	29770
1093	17067	29735
1094	17071	29700
1095	17076	29666
1096	17081	29631
1097	17085	29596
1098	17090	29562
1099	17094	29527
1100	17099	29493
1101	17103	29458
1102	17108	29423
1103	17113	29390
1104	17117	29355
1105	17121	29320
1106	17126	29286
1107	17130	29251
1108	17135	29217
1109	17139	29183
1110	17144	29149
1111	17149	29117
1112	17154	29084
1113	17159	29051
1114	17164	29018
1115	17168	28983
1116	17173	28951
1117	17178	28917
1118	17183	28884
1119	17188	28851
1120	17193	28818
1121	17197	28785
1122	17202	28751
1123	17206	28718
1124	17211	28686
1125	17216	28653
1126	17220	28619
1127	17225	28586
1128	17229	28552
1129	17233	28519
1130	17238	28487
1131	17243	28454
1132	17248	28422
1133	17252	28389
1134	17256	28356
1135	17261	28323
1136	17265	28289
1137	17270	28257
1138	17274	28225
1139	17278	28191
1140	17283	28160
1141	17288	28128
1142	17293	28095
1143	17298	28064
1144	17302	28031
1145	17306	27999
1146	17311	27967
1147	17316	27935
1148	17320	27902
1149	17324	27870
1150	17329	27838
1151	17333	27806
1152	17338	27774
1153	17343	27743
1154	17348	27712
